step,loss,acc,freq_ratio,mean_freq_khz,max_temp_c,throttle_delta,governor,epp
190,1.270169,0.362500,0.500,2731965,91.5,0,performance,performance
191,1.663592,0.200000,0.535,2920850,91.4,0,performance,performance
192,1.418440,0.250000,0.547,2987091,91.2,0,performance,performance
193,1.618333,0.237500,0.537,2931895,91.2,0,performance,performance
194,1.592116,0.200000,0.528,2885164,91.4,0,performance,performance
195,1.469599,0.237500,0.547,2987021,91.2,0,performance,performance
196,1.642875,0.225000,0.631,3445485,91.4,0,performance,performance
197,1.441772,0.287500,0.527,2880970,91.2,0,performance,performance
198,1.412984,0.275000,0.525,2870442,91.2,0,performance,performance
199,1.363680,0.325000,0.523,2859603,91.2,0,performance,performance
200,1.372726,0.250000,0.535,2922670,91.4,0,performance,performance
